name,category,sra,lat,lon
EL CENTRO REGIONAL MEDICAL CENTER,Hospital,,32.781375145754986,-115.49822838808531
PIONEERS MEMORIAL HEALTHCARE DISTRICT,Hospital,,32.96002512634202,-115.5518183657601
COLLEGE HOSPITAL COSTA MESA,Hospital,,33.65248516896268,-117.91301790192655
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Hospital,,33.6252551733182,-117.92947790130597
PROVIDENCE MISSION HOSPITAL,Hospital,,33.56278516590155,-117.66766795041035
NEWPORT BAY HOSPITAL,Hospital,,33.622175172082876,-117.90652790464978
MEMORIALCARE SADDLEBACK MEDICAL CENTER,Hospital,,33.60801516295844,-117.70823794015269
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,Hospital,,33.45744517716792,-117.64952796101329
PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH,Hospital,,33.49973427763234,-117.74223814232725
FOOTHILL REGIONAL MEDICAL CENTER,Hospital,,33.731185155363,-117.82901790919904
HOAG HOSPITAL IRVINE,Hospital,,33.6616751604481,-117.77369792453268
CHILDREN'S HOSPITAL AT MISSION,Hospital,,33.56278516590155,-117.66766795041035
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,Hospital,,33.659205160920216,-117.77399792500538
HOAG ORTHOPEDIC INSTITUTE,Hospital,,33.66177406078192,-117.77357952474202
"LAGUNA TREATMENT HOSPITAL, LLC",Hospital,,33.5719051665895,-117.70171794386403
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,Hospital,,33.713645157011996,-117.81683791255907
"ALISO RIDGE BEHAVIORAL HEALTH, LLC",Hospital,,33.562515169094276,-117.72866793984235
THE BETTY FORD CENTER,Hospital,,33.76417507388573,-116.40806815302552
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,Hospital,,33.85868962569579,-117.55463064577374
EISENHOWER MEDICAL CENTER,Hospital,,33.76417507388573,-116.40806815302552
HEMET GLOBAL MEDICAL CENTER,Hospital,,33.75112510536168,-116.95956805758667
JOHN F. KENNEDY MEMORIAL HOSPITAL,Hospital,,33.706765071527606,-116.23389818802464
KINDRED HOSPITAL - RIVERSIDE,Hospital,,33.81240511268448,-117.2215980067789
SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,Hospital,,33.591235139184356,-117.23697802187036
MENIFEE GLOBAL MEDICAL CENTER,Hospital,,33.721455119966215,-117.15689802582538
SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,Hospital,,33.55787514065417,-117.1848680337914
TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,Hospital,,33.70084507148052,-116.22089819117386
