tract,sra_id,sra,hpi2022,totpop,tothhs,bmi30plus_pct,cancer_pct,copd_pct,chd_pct,diabetes_pct,hbp_pct,stroke_pct,hispanic_pct,nonhisp_pct,aian_pct,asian_pct,black_pct,nhpi_pct,white_pct,race_other_pct,hhs_snap_pct,active_commute,auto_access,insurance,lowincome_bin,median_income,lowphysactiv_pct,park_access,supermkt_access,transit_access,walkability,num_full_restaurants,num_fast_food,num_snack_nonalcbev_bars
6073001500,1,CENTRAL SAN DIEGO,0.458983884,3713,1775,0.236,0.049,0.034,0.033,0.063,0.229,0.018,0.2812,0.7188,0.0,0.0509,0.0391,0.0,0.8163,0.0369,0.0327,0.072742133,0.925,-0.281113856,No,80337.0,0.145,0.524148449,0.913416089,0.899339095,14.63728952,11,3,2
6073001600,6,MID-CITY,-0.347547149,4770,2224,0.308,0.038,0.055,0.046,0.099,0.255,0.028,0.4818,0.5182,0.026,0.0717,0.1449,0.0,0.6224,0.1046,0.0908,0.169543537,0.883,-1.381877092,Yes,43307.0,0.251,0.473013626,1.0,1.0,15.42441199,9,3,4
6073001700,6,MID-CITY,0.050700851,4679,2261,0.262,0.04,0.04,0.034,0.071,0.226,0.02,0.4462,0.5538,0.0,0.0118,0.0834,0.0,0.7963,0.0554,0.0557,0.051395507,0.949,-1.502488267,No,65074.0,0.179,0.95326907,1.0,1.0,14.24988558,3,1,1
6073001800,6,MID-CITY,-0.021383174,5488,2538,0.296,0.04,0.052,0.043,0.087,0.249,0.025,0.3568,0.6432,0.0126,0.0927,0.1071,0.0,0.6729,0.063,0.1001,0.106519416,0.875,-0.349683715,Yes,55156.0,0.219,1.0,0.927733559,1.0,16.60013671,26,5,20
6073001900,6,MID-CITY,0.65414886,3343,1459,0.223,0.065,0.039,0.04,0.067,0.261,0.021,0.1953,0.8047,0.0,0.0556,0.0263,0.0021,0.834,0.0323,0.0144,0.05469142,0.979,0.180506916,No,100833.0,0.132,1.0,0.478489567,0.93705342,10.96875332,0,0,0
6073002001,6,MID-CITY,1.049519673,3417,1537,0.211,0.088,0.044,0.053,0.078,0.305,0.026,0.1054,0.8946,0.0,0.0319,0.0091,0.0,0.9394,0.0018,0.0059,0.028140014,0.995,0.991078039,No,160545.0,0.128,1.0,0.421003501,0.756112105,9.511615099,1,0,0
6073002002,6,MID-CITY,0.54290924,2818,1094,0.218,0.061,0.038,0.04,0.065,0.254,0.021,0.1551,0.8449,0.0043,0.0394,0.0614,0.0,0.8187,0.0199,0.0393,0.072597865,0.992,0.269198575,No,113250.0,0.132,1.0,0.671126214,1.0,11.66666667,1,0,0
6073002100,6,MID-CITY,0.09315718,4966,2418,0.272,0.043,0.046,0.039,0.081,0.238,0.023,0.2761,0.7239,0.0038,0.0938,0.1502,0.0,0.6567,0.0326,0.0968,0.046282012,0.959,-0.48312427,No,66811.0,0.196,1.0,1.0,1.0,15.34787241,22,2,4
6073002201,6,MID-CITY,-0.738045377,3467,1171,0.345,0.034,0.072,0.056,0.133,0.281,0.036,0.497,0.503,0.0,0.1797,0.2547,0.0,0.4081,0.1073,0.2579,0.165653495,0.756,-1.009304329,Yes,32191.0,0.344,1.0,1.0,1.0,14.28265833,4,1,2
6073002202,6,MID-CITY,-0.842523446,5775,1771,0.303,0.044,0.074,0.074,0.157,0.332,0.042,0.7153,0.2847,0.0016,0.1508,0.0632,0.0,0.5643,0.2009,0.258,0.162790698,0.761,-3.229906556,Yes,33731.0,0.348,1.0,1.0,1.0,15.48181984,10,5,5
6073002301,6,MID-CITY,-0.433005807,3041,1221,0.269,0.04,0.054,0.05,0.112,0.293,0.029,0.4472,0.5528,0.0,0.2022,0.1181,0.0122,0.4982,0.1253,0.1736,0.120207927,0.874,-1.179687605,Yes,44891.0,0.255,1.0,1.0,1.0,15.45993803,18,2,6
6073002302,6,MID-CITY,-0.868886458,7826,2258,0.31,0.037,0.072,0.064,0.149,0.312,0.038,0.5906,0.4094,0.0079,0.2184,0.0772,0.0,0.5105,0.1314,0.306,0.206037206,0.784,-2.49588496,Yes,32087.0,0.354,1.0,1.0,1.0,16.3562837,31,4,3
6073002401,6,MID-CITY,-0.27007701,4970,1679,0.296,0.038,0.053,0.046,0.103,0.266,0.027,0.566,0.434,0.005,0.0678,0.0913,0.0,0.7463,0.0561,0.1852,0.122689076,0.898,-1.549426344,Yes,51792.0,0.261,1.0,1.0,1.0,15.67413651,7,0,4
6073002402,6,MID-CITY,-0.990181309,5391,1573,0.327,0.034,0.066,0.056,0.132,0.281,0.033,0.7054,0.2946,0.0017,0.1387,0.1267,0.0032,0.5778,0.1404,0.2212,0.111266947,0.835,-3.193709998,Yes,33224.0,0.342,1.0,1.0,1.0,15.74641852,12,1,2
6073002501,6,MID-CITY,-0.330182557,5525,1578,0.296,0.039,0.056,0.053,0.121,0.292,0.03,0.6161,0.3839,0.0051,0.1294,0.1157,0.0,0.6492,0.0585,0.1787,0.136469673,0.927,-1.635377107,Yes,51014.0,0.287,1.0,0.61858977,0.814680233,11.78144964,3,0,0
6073002502,6,MID-CITY,-0.315257883,6642,2077,0.285,0.046,0.056,0.052,0.108,0.276,0.03,0.4858,0.5142,0.0,0.1108,0.1233,0.0027,0.6591,0.0738,0.1372,0.039459262,0.957,-0.967437938,Yes,59099.0,0.252,1.0,0.350050121,0.726851852,13.73365963,2,0,0
6073002601,6,MID-CITY,-0.704188,5554,1591,0.316,0.035,0.064,0.058,0.136,0.286,0.033,0.6604,0.3396,0.0074,0.1891,0.0259,0.0,0.52,0.1982,0.1483,0.073784007,0.945,-1.577328308,Yes,32698.0,0.346,1.0,1.0,1.0,15.10042956,8,4,5
6073002602,6,MID-CITY,-0.521543395,4307,1197,0.288,0.037,0.052,0.047,0.11,0.266,0.028,0.6088,0.3912,0.0186,0.2213,0.0866,0.0,0.4878,0.182,0.2147,0.069395906,0.938,-1.904572894,Yes,50875.0,0.282,1.0,0.951379856,1.0,11.19321932,1,0,1
6073002702,6,MID-CITY,-0.285925746,6238,2042,0.262,0.047,0.051,0.05,0.093,0.268,0.028,0.2741,0.7259,0.0168,0.1231,0.2645,0.0014,0.4963,0.0383,0.1283,0.039443155,0.905,-0.471490162,Yes,60057.0,0.212,0.843050193,1.0,1.0,13.18096549,17,7,3
6073002703,6,MID-CITY,-0.035581756,7679,2295,0.263,0.047,0.053,0.049,0.099,0.273,0.028,0.4516,0.5484,0.0134,0.1837,0.0879,0.0,0.6082,0.0628,0.1107,0.033898305,0.959,-1.399612436,Yes,55012.0,0.237,1.0,0.542070968,0.713478261,13.35388096,13,8,8
6073000100,1,CENTRAL SAN DIEGO,1.048395051,2863,1296,0.207,0.091,0.044,0.056,0.08,0.309,0.026,0.0884,0.9116,0.0,0.0283,0.0,0.0031,0.9039,0.0244,0.0,0.053354891,0.953,1.097335955,No,138879.0,0.125,1.0,0.0,0.333113239,14.74753846,6,0,3
6073000202,1,CENTRAL SAN DIEGO,0.488243832,5021,2420,0.215,0.063,0.036,0.04,0.062,0.241,0.02,0.1318,0.8682,0.0092,0.0805,0.0169,0.0,0.8441,0.0112,0.0107,0.128763867,0.911,0.405404814,No,76658.0,0.125,1.0,0.527017223,0.995960076,15.58331515,14,1,3
6073000300,1,CENTRAL SAN DIEGO,0.640366444,5174,2777,0.219,0.064,0.039,0.047,0.068,0.252,0.023,0.1276,0.8724,0.0,0.0481,0.0435,0.0014,0.8514,0.0048,0.0166,0.142580019,0.936,0.182130879,No,68679.0,0.137,1.0,0.870296248,1.0,15.46715089,84,10,12
