name,address,city,zip,sra_id,sra
Bonita Vista Middle,650 Otay Lakes Road,Chula Vista,91910,20,SWEETWATER
Bonita Vista Senior High,751 Otay Lakes Road,Chula Vista,91913,20,SWEETWATER
Clear View,455 Windrose Way,Chula Vista,91910,20,SWEETWATER
Tiffany (Burton C.) Elementary,1691 Elmhurst Street,Chula Vista,91913,20,SWEETWATER
McMillin (Corky) Elementary,1201 Santa Cora Avenue,Chula Vista,91913,20,SWEETWATER
Silver Strand Elementary,1350 Leyte Road,Coronado,92118,3,CORONADO
Feaster (Mae L.) Charter,670 Flower Street,Chula Vista,91910,21,CHULA VISTA
Discovery Charter,1100 Camino Biscay,Chula Vista,91910,20,SWEETWATER
Campo Elementary,1654 Buckman Springs Road,Campo,91906,62,MOUNTAIN EMPIRE
Arroyo Vista Charter,2491 School House Road,Chula Vista,91915,20,SWEETWATER
Eastlake Middle,900 Duncan Ranch Road,Chula Vista,91914,20,SWEETWATER
Eastlake High,1120 Eastlake Parkway,Chula Vista,91915,20,SWEETWATER
Hilltop Senior High,555 Claire Avenue,Chula Vista,91910,21,CHULA VISTA
Olympic View Elementary,1220 South Greensview Drive,Chula Vista,91915,20,SWEETWATER
Chula Vista Hills Elementary,980 Buena Vista Way,Chula Vista,91910,20,SWEETWATER
Vista Square Elementary,540 G Street,Chula Vista,91910,21,CHULA VISTA
Chula Vista Middle,415 Fifth Avenue,Chula Vista,91910,21,CHULA VISTA
Heritage Elementary,1450 Santa Lucia Road,Chula Vista,91913,20,SWEETWATER
Rancho del Rey Middle,1174 East J Street,Chula Vista,91910,20,SWEETWATER
Otay Ranch Senior High,1250 Olympic Parkway,Chula Vista,91913,20,SWEETWATER
Casillas (Joseph) Elementary,1130 East J Street,Chula Vista,91910,20,SWEETWATER
Hedenkamp (Anne and William) Elementary,930 East Palomar,Chula Vista,91913,20,SWEETWATER
Mueller Charter (Robert L.),715 I Street,Chula Vista,91910,21,CHULA VISTA
Hillside Junior/Senior High,3305 Buckman Springs Road,Pine Valley,91962,62,MOUNTAIN EMPIRE
Campo High (Continuation),3305 Buckman Springs Road,Pine Valley,91962,62,MOUNTAIN EMPIRE
Rogers (Greg) Elementary,510 East Naples Street,Chula Vista,91911,20,SWEETWATER
Torrey Pines Elementary,8350 Cliffridge Avenue,La Jolla,92037,11,COASTAL
Preuss School UCSD,9500 Gilman Drive,La Jolla,92093,12,UNIVERSITY
Blossom Valley Elementary,9863 Oakmont Terrace,El Cajon,92021,37,HARBISON CREST
Lindo Park Elementary,12824 Lakeshore Drive,Lakeside,92040,36,LAKESIDE
Santana High,9915 North Magnolia Avenue,Santee,92071,35,SANTEE
Descanso Elementary,24842 Viejas Boulevard,Descanso,91916,61,LAGUNA-PINE VALLEY
Standley Middle,6298 Radcliffe Drive,San Diego,92122,12,UNIVERSITY
Lakeside Middle,11833 Woodside Avenue,Lakeside,92040,36,LAKESIDE
Tierra del Sol Middle,9611 Petite Lane,Lakeside,92040,36,LAKESIDE
